Steps: 10 Loss: 0.05011| DTW: 31.242| LR: 0.001000 *
Steps: 20 Loss: 0.02042| DTW: 26.725| LR: 0.001000 *
Steps: 30 Loss: 0.01365| DTW: 20.905| LR: 0.001000 *
Steps: 40 Loss: 0.01063| DTW: 18.554| LR: 0.001000 *
Steps: 50 Loss: 0.00930| DTW: 17.537| LR: 0.001000 *
Steps: 60 Loss: 0.00922| DTW: 17.356| LR: 0.001000 *
Steps: 70 Loss: 0.00892| DTW: 17.323| LR: 0.001000 *
Steps: 80 Loss: 0.00886| DTW: 17.537| LR: 0.001000 
Steps: 90 Loss: 0.00884| DTW: 17.617| LR: 0.001000 
Steps: 100 Loss: 0.00881| DTW: 17.745| LR: 0.001000 
Steps: 110 Loss: 0.00880| DTW: 17.900| LR: 0.001000 
Steps: 120 Loss: 0.00877| DTW: 18.077| LR: 0.001000 
Steps: 130 Loss: 0.00872| DTW: 18.187| LR: 0.001000 
Steps: 140 Loss: 0.00867| DTW: 18.244| LR: 0.001000 
Steps: 150 Loss: 0.00865| DTW: 21.799| LR: 0.000700 
Steps: 160 Loss: 0.00861| DTW: 21.865| LR: 0.000700 
Steps: 170 Loss: 0.00858| DTW: 21.935| LR: 0.000700 
Steps: 180 Loss: 0.00853| DTW: 21.991| LR: 0.000700 
Steps: 190 Loss: 0.00842| DTW: 22.094| LR: 0.000700 
Steps: 200 Loss: 0.00832| DTW: 22.255| LR: 0.000700 
Steps: 210 Loss: 0.00824| DTW: 22.413| LR: 0.000700 
Steps: 220 Loss: 0.00818| DTW: 22.397| LR: 0.000700 
Steps: 230 Loss: 0.00814| DTW: 22.595| LR: 0.000490 
Steps: 240 Loss: 0.00810| DTW: 18.910| LR: 0.000490 
Steps: 250 Loss: 0.00808| DTW: 18.984| LR: 0.000490 
Steps: 260 Loss: 0.00802| DTW: 18.991| LR: 0.000490 
Steps: 270 Loss: 0.00799| DTW: 19.086| LR: 0.000490 
Steps: 280 Loss: 0.00797| DTW: 19.117| LR: 0.000490 
Steps: 290 Loss: 0.00794| DTW: 19.207| LR: 0.000490 
Steps: 300 Loss: 0.00793| DTW: 19.309| LR: 0.000490 
Steps: 310 Loss: 0.00791| DTW: 19.376| LR: 0.000343 
Steps: 320 Loss: 0.00790| DTW: 19.406| LR: 0.000343 
Steps: 330 Loss: 0.00787| DTW: 19.440| LR: 0.000343 
Steps: 340 Loss: 0.00786| DTW: 19.495| LR: 0.000343 
Steps: 350 Loss: 0.00784| DTW: 19.544| LR: 0.000343 
Steps: 360 Loss: 0.00784| DTW: 19.570| LR: 0.000343 
Steps: 370 Loss: 0.00779| DTW: 19.596| LR: 0.000343 
Steps: 380 Loss: 0.00778| DTW: 19.639| LR: 0.000343 
Steps: 390 Loss: 0.00776| DTW: 19.680| LR: 0.000240 
Steps: 400 Loss: 0.00775| DTW: 19.692| LR: 0.000240 
Steps: 410 Loss: 0.00774| DTW: 19.719| LR: 0.000240 
Steps: 420 Loss: 0.00772| DTW: 19.722| LR: 0.000240 
Steps: 430 Loss: 0.00769| DTW: 19.733| LR: 0.000240 
Steps: 440 Loss: 0.00769| DTW: 19.792| LR: 0.000240 
Steps: 450 Loss: 0.00764| DTW: 19.883| LR: 0.000240 
Steps: 460 Loss: 0.00762| DTW: 19.917| LR: 0.000240 
Steps: 470 Loss: 0.00758| DTW: 19.916| LR: 0.000168 
Steps: 480 Loss: 0.00758| DTW: 19.986| LR: 0.000168 
Steps: 490 Loss: 0.00757| DTW: 20.016| LR: 0.000168 
Steps: 500 Loss: 0.00754| DTW: 20.025| LR: 0.000168 
Steps: 510 Loss: 0.00751| DTW: 20.046| LR: 0.000168 
Steps: 520 Loss: 0.00748| DTW: 20.067| LR: 0.000168 
Steps: 10 Loss: 1.40253| DTW: 169.084| LR: 0.001000 *
Steps: 20 Loss: 1.13304| DTW: 182.565| LR: 0.001000 
Steps: 30 Loss: 0.96542| DTW: 257.515| LR: 0.001000 
Steps: 40 Loss: 0.81734| DTW: 411.254| LR: 0.001000 
Steps: 50 Loss: 0.71958| DTW: 288.627| LR: 0.001000 
